ITS Id,Server Type,Status,Primary SA,RU Size,Current Rack,Current Position,Current Location,Serial #,Manufacturer,Model,General Notes
"ovm03","VMware Host","Available","anicasm","null","Not Assigned","''","","73DKBM1","Dell","Dell R710","",
"ovm04","VMware Host","Available","anicasm","null","Not Assigned","''","","93DKBM1","Dell","Dell R710","",
"pcs02","Standalone","Available","nakadoma","null","Not Assigned","''","","","null","","",
"pcs04","Standalone","Available","nakadoma","null","Not Assigned","''","","","null","","",
"pcs05","Standalone","Available","nakadoma","null","Not Assigned","''","","","null","","",
"pub01","Solaris Global Zone","Available","","null","Not Assigned","''","","0748SC0052","null","v490","",
"pub02","Solaris Global Zone","Available","","null","Not Assigned","''","","","Sun","v210","",
"pub03","Solaris Global Zone","Available","","null","Not Assigned","''","","0738FMZ017","Sun","v125","",
"pub05","Solaris Global Zone","Available","thang","3","C8","'5 - 7'","Keller 103","FML0916010","Sun","T5240","",
"pvt01","Solaris Global Zone","Available","anicasm","null","Not Assigned","''","","0806SC008D","null","v490","",
"pvt02","Solaris Global Zone","Available","anicasm","null","Not Assigned","''","","BEF0835AE4","null","M4000","",
"pvt03","Solaris Global Zone","Available","anicasm","null","Not Assigned","''","","0539AD80BA","null","v440","",
"pvt08","Solaris Global Zone","Available","nakadoma","10","B9","'1 - 10'","Keller 103","BDF110780E","null","M5000","",
"pvt90","Solaris Global Zone","Available","nakadoma","null","Not Assigned","''","","215H25BE","null","SF4800","",
"rpt17","Standalone","Available","anicasm","null","Not Assigned","''","","","null","v210","",
"rsn01","Standalone","Available","romeot","null","Not Assigned","''","","","null","","",
"ssa03","Standalone","Available","nakadoma","null","Not Assigned","''","","","null","280R","",
"ssa04","Standalone","Available","nakadoma","null","Not Assigned","''","","","null","280R","",
"ssa05","Standalone","Retired","nakadoma","null","Not Assigned","''","","","null","v210","",
"t2k01","Solaris Global Zone","Available","anicasm","null","Not Assigned","''","","","Sun","","",
"t2k06","Solaris Global Zone","Available","romeot","2","C8","'30 - 31'","Keller 103","NNL072800T","null","T2000","",
"t2k07","Solaris Global Zone","Available","romeot","null","Not Assigned","''","","NNL081608U","null","T2000","",
"t2k08","Solaris Global Zone","Available","romeot","null","Not Assigned","''","","NNL081609C","Sun","T2000","",
"t2k10","Solaris Global Zone","Available","garry","null","Not Assigned","''","","","Sun","T2000","",
"t2k11","Solaris Global Zone","Available","garry","null","Not Assigned","''","","","Sun","T2000","",
"t2k12","Solaris Global Zone","Available","garry","null","Not Assigned","''","","","Sun","T2000","",
"t2k22","Solaris Global Zone","Available","romeot","null","Not Assigned","''","","NNL081608C","Sun","T2000","",
"t2k23","Solaris Global Zone","Available","romeot","null","Not Assigned","''","","NNL081608B","Sun","T2000","",
"t2k24","Solaris Global Zone","Available","romeot","null","Not Assigned","''","","NNL081600V","Sun","T2000","",
"t2k30","Solaris Global Zone","Available","nakadoma","2","C8","'18 - 19'","Keller 103","NNL071902Y","Sun","T2000","",
"t2k31","Solaris Global Zone","Available","nakadoma","2","C10","'32 - 33'","Keller 103","0719NNN0YL","Sun","T2000","",
"t2k40","Solaris Global Zone","Available","garry","null","Not Assigned","''","","NNL0820079","Sun","T2000","",
"t2k41","Solaris Global Zone","Available","garry","null","Not Assigned","''","","0651NNN10V","Sun","T2000","",
"t2k73","Solaris Global Zone","Available","thang","2","C6","'24 - 25'","Keller 103","0719NNN0CE","Sun","T2000","",
"t2k97","Solaris Global Zone","Available","anicasm","null","Not Assigned","''","","0719NNN06W","Sun","T2000","",
"t2k98","Solaris Global Zone","Available","garry","null","Not Assigned","''","","0719NNN0BX","Sun","T2000","",
"t2k99","Solaris Global Zone","Available","","null","Not Assigned","''","","0633NNN0EA","Sun","T2000","",
"t5k70","Solaris Global Zone","Available","romeot","1","C6","'4'","Keller 103","BEL0816EJS","Sun","T5120","",
"t5k99","Solaris Global Zone","Available","romeot","1","C9","'6'","Keller 103","BEL0815D3W","Sun","T5120","",
"test","","Available","","null","Not Assigned","''","","","Dell","","",
"uh2k3bb01","Standalone","Available","Contract Services","null","Not Assigned","''","","DSC54D1","Dell","Dell 1950","",
"uh2k3dc02","Standalone","Available","byronw","null","Not Assigned","''","","DLDQC61","Dell","Dell 860","",
"uhdat","Standalone","Available","msahara","null","Not Assigned","''","","8CMDG61","Dell","Dell 2850","",
"uhe2k7cn01","Standalone","Available","byronw","null","Not Assigned","''","","5TC54D1","Dell","Dell 1950","move to VM",
